Analyst Username,URL Username,Join Date,Roles,Analyst Confidence Score,Error Rate,Accuracy Percentile,Points,Stocks,Pending
UnlikelySpinach,analyst_2563773,Member since Apr 2021 - Last seen about 2 years ago,[],5.6,22.8% all time,34% all time,-9 all time,10 all time,17 total
Analyst_9147749,analyst_9147749,Member since Jul 2022 - Last seen about 1 year ago,"['Non Professional', 'Student']",6.8,25.4% all time,51% all time,-7 all time,1 all time,1 total
Analyst_9625351,analyst_9625351,Member since Apr 2022,"['Non Professional', 'Other', 'Other']",N/A,- all time,- all time,- all time,- all time,- total
Analyst_2603568,analyst_2603568,Member since Oct 2021,"['Non Professional', 'Other', 'Other']",N/A,- all time,- all time,- all time,- all time,- total
Analyst_8364807,analyst-8364807,Member since Oct 2014 - Last seen 5 days ago,"['Non Professional', 'Financials', 'Professional Services']",8.0,9.4% all time,60% all time,627 all time,42 all time,46 total
Analyst_1393760,analyst_1393760,Member since Dec 2019,"['Non Professional', 'Other', 'Other']",N/A,- all time,- all time,- all time,- all time,- total
Analyst_8869204,analyst_8869204,Member since Nov 2018 - Last seen about 5 years ago,"['Non Professional', 'Other', 'Other']",6.5,33.4% all time,38% all time,-2 all time,1 all time,4 total
JB_of_London,analyst_2377476,Member since Jan 2018 - Last seen over 2 years ago,"['Non Professional', 'Financials', 'Insurance']",7.7,9.9% all time,67% all time,255 all time,1 all time,11 total
cengizhan,analyst_415142,Member since Jul 2020 - Last seen over 3 years ago,"['Non Professional', 'Information Technology', 'Internet Software & Services']",6.6,40.8% all time,42% all time,10 all time,2 all time,4 total
Analyst_9209673,analyst_9209673,Member since May 2022,"['Non Professional', 'Other', 'Other']",6.7,4.0% all time,36% all time,14 all time,1 all time,1 total
Analyst_9977379,analyst_9977379,Member since Mar 2022 - Last seen over 1 year ago,"['Non Professional', 'Academia']",6.8,13.4% all time,51% all time,31 all time,2 all time,2 total
Analyst_5811250,analyst_5811250,Member since May 2021,"['Non Professional', 'Other', 'Other']",6.9,10.5% all time,66% all time,16 all time,1 all time,1 total
Analyst_2442758,analyst_2442758,Member since Apr 2022,"['Non Professional', 'Other', 'Other']",6.8,28.0% all time,56% all time,1 all time,2 all time,2 total
Analyst_81473,analyst_81473,Member since Oct 2020,"['Non Professional', 'Other', 'Other']",7.1,7.1% all time,74% all time,58 all time,2 all time,2 total
Analyst_3899293,analyst_3899293,Member since Jan 2023,"['Non Professional', 'Other', 'Other']",N/A,- all time,- all time,- all time,- all time,- total
Analyst_6665431,analyst_6665431,Member since Apr 2020,"['Non Professional', 'Other', 'Other']",5.7,22.6% all time,20% all time,-35 all time,6 all time,6 total
Analyst_9370383,analyst_9370383,Member since Aug 2022,"['Non Professional', 'Other', 'Other']",6.9,2.1% all time,63% all time,28 all time,1 all time,1 total
Analyst_6403567,analyst_6403567,Member since Jan 2021,"['Non Professional', 'Other', 'Other']",6.7,5.2% all time,45% all time,0 all time,3 all time,3 total
Analyst_168729,analyst_168729,Member since Jun 2016 - Last seen over 3 years ago,"['Non Professional', 'Other', 'Other']",6.6,8.5% all time,43% all time,35 all time,3 all time,4 total
Analyst_2933459,analyst_2933459,Member since Apr 2016 - Last seen about 1 year ago,"['Non Professional', 'Information Technology', 'Software']",6.2,22.4% all time,20% all time,15 all time,3 all time,3 total
Analyst_5770438,analyst_5770438,Member since Dec 2020 - Last seen almost 3 years ago,"['Non Professional', 'Financials', 'Real Estate Development']",6.7,12.8% all time,37% all time,-8 all time,1 all time,1 total
Analyst_8765288,analyst_8765288,Member since Mar 2022,"['Non Professional', 'Other', 'Other']",6.9,1.6% all time,69% all time,33 all time,1 all time,1 total
bgvianyc,bgvianyc,Member since Jul 2015 - Last seen 7 months ago,"['Non Professional', 'Information Technology', 'Software']",5.0,31.2% all time,12% all time,-78 all time,6 all time,7 total
Analyst_217032,analyst_217032,Member since Jan 2021,"['Non Professional', 'Other', 'Other']",6.9,8.7% all time,70% all time,35 all time,1 all time,1 total
Vailima,vailima,Member since Jul 2018 - Last seen over 1 year ago,"['Non Professional', 'Consumer Discretionary', 'Textiles, Apparel & Luxury Goods']",6.6,12.3% all time,49% all time,871 all time,38 all time,81 total
leonromerophd,leosuaromero,Member since Aug 2018 - Last seen 3 days ago,"['Financial Professional', 'Independent', 'Independent Research']",7.7,5.4% all time,67% all time,300 all time,13 all time,11 total
rambler,analyst_8804828,Member since Feb 2017 - Last seen about 1 month ago,"['Financial Professional', 'Independent', 'Other']",6.5,7.8% all time,35% all time,10 all time,3 all time,3 total
Analyst_1047459,analyst_1047459,Member since Dec 2019 - Last seen almost 4 years ago,"['Non Professional', 'Information Technology', 'Internet Software & Services']",6.8,5.3% all time,57% all time,32 all time,2 all time,2 total
Analyst_5114545,analyst_5114545,Member since May 2021,"['Non Professional', 'Other', 'Other']",6.9,8.9% all time,71% all time,-4 all time,1 all time,1 total
DrTee,analyst_6426407,Member since Apr 2021 - Last seen 7 months ago,"['Financial Professional', 'Independent', 'Independent Research']",6.7,16.1% all time,49% all time,137 all time,12 all time,25 total
Analyst_8111060,analyst_8111060,Member since Jan 2021,"['Non Professional', 'Other', 'Other']",6.9,7.4% all time,69% all time,16 all time,1 all time,1 total
David Hilder,analyst_1074949,Member since Feb 2019 - Last seen 4 months ago,"['Financial Professional', 'Independent', 'Independent Research']",7.5,9.7% all time,56% all time,848 all time,11 all time,67 total
Analyst_94163,analyst_94163,Member since Jul 2020,"['Non Professional', 'Other', 'Other']",6.9,52.5% all time,67% all time,26 all time,1 all time,1 total
Analyst_239396,analyst_239396,Member since Jul 2019,"['Non Professional', 'Other', 'Other']",6.9,2.4% all time,66% all time,8 all time,1 all time,1 total
Analyst_5692657,analyst_5692657,Member since Oct 2020,"['Non Professional', 'Other', 'Other']",7.4,14.3% all time,56% all time,471 all time,22 all time,34 total
Analyst_5065096,analyst_5065096,Member since Feb 2022,"['Non Professional', 'Other', 'Other']",N/A,- all time,- all time,- all time,- all time,- total
Analyst_6723571,analyst_6723571-b5dd6107-3a2d-4a4c-bdd4-3a25858950a6,Member since Feb 2021 - Last seen almost 3 years ago,"['Non Professional', 'Other', 'Other']",6.4,23.0% all time,5% all time,-21 all time,1 all time,1 total
Analyst_5811113,analyst_5811113,Member since Jan 2022 - Last seen 9 months ago,"['Financial Professional', 'Buy Side', 'Hedge Fund']",6.3,14.2% all time,30% all time,1 all time,1 all time,4 total
Analyst_2711490,analyst_2711490,Member since Apr 2020 - Last seen over 3 years ago,"['Non Professional', 'Information Technology', 'Internet Software & Services']",6.7,9.7% all time,47% all time,70 all time,2 all time,5 total
Analyst_2539414,analyst_2539414,Member since Apr 2021 - Last seen 4 months ago,"['Non Professional', 'Financials', 'Professional Services']",6.5,21.2% all time,43% all time,41 all time,17 all time,9 total
Analyst_1677581,analyst_1677581,Member since Jan 2019,"['Non Professional', 'Other', 'Other']",6.5,4.7% all time,35% all time,16 all time,1 all time,3 total
Analyst_2156284,analyst_2156284,Member since Aug 2018 - Last seen almost 2 years ago,[],6.4,8.7% all time,45% all time,200 all time,14 all time,24 total
huangweicom,analyst_8093703,Member since Dec 2017 - Last seen about 2 years ago,[],5.8,20.4% all time,43% all time,291 all time,18 all time,65 total
Analyst_5540151,analyst_5540151,Member since Aug 2021,"['Non Professional', 'Other', 'Other']",6.7,5.2% all time,34% all time,2 all time,1 all time,1 total
Analyst_4153625,analyst_4153625,Member since Jun 2020 - Last seen about 3 years ago,[],6.9,8.8% all time,55% all time,18 all time,3 all time,3 total
Analyst_9701704,analyst_9701704,Member since Mar 2016 - Last seen 7 months ago,"['Non Professional', 'Industrials', 'Construction & Engineering']",8.8,13.7% all time,66% all time,842 all time,17 all time,48 total
Analyst_1466276,analyst_1466276,Member since Jul 2020,"['Non Professional', 'Other', 'Other']",N/A,- all time,- all time,- all time,- all time,- total
Analyst_2384766,analyst_2384766,Member since Dec 2021,"['Non Professional', 'Other', 'Other']",6.3,18.4% all time,3% all time,-38 all time,1 all time,1 total
Analyst_9901703,analyst_9901703,Member since Jun 2020,"['Non Professional', 'Other', 'Other']",6.7,13.3% all time,35% all time,-9 all time,1 all time,1 total
Analyst_3651680,analyst_3651680,Member since Sep 2020,"['Non Professional', 'Other', 'Other']",N/A,- all time,- all time,- all time,- all time,- total
Apoorv Srivastava,apoorv,Member since Oct 2015 - Last seen almost 3 years ago,"['Financial Professional', 'Independent', 'Independent Research']",8.3,11.1% all time,61% all time,"1,275 all time",55 all time,75 total
Analyst_1721376,analyst_1721376,Member since May 2019,"['Non Professional', 'Other', 'Other']",7.1,4.0% all time,68% all time,55 all time,2 all time,3 total
Analyst_9912409,analyst_9912409,Member since Apr 2019 - Last seen about 2 years ago,"['Non Professional', 'Information Technology', 'Software']",6.0,16.3% all time,34% all time,11 all time,7 all time,10 total
JimmyT9,jimmyt9,Member since Jul 2019 - Last seen almost 2 years ago,['Student'],7.0,16.4% all time,61% all time,57 all time,4 all time,4 total
Analyst_6518745,analyst_6518745,Member since Jan 2021,"['Non Professional', 'Other', 'Other']",6.7,12.7% all time,38% all time,-7 all time,1 all time,1 total
Silverreport,analyst_7468725,Member since Feb 2022 - Last seen almost 2 years ago,"['Financial Professional', 'Buy Side', 'Asset Manager']",7.1,17.9% all time,71% all time,48 all time,3 all time,3 total
Analyst_6014022,analyst_6014022,Member since Apr 2020,"['Non Professional', 'Other', 'Other']",6.8,21.4% all time,46% all time,-7 all time,1 all time,1 total
tibby_t,analyst_2582853,Member since Mar 2021 - Last seen over 1 year ago,[],3.8,24.1% all time,24% all time,-158 all time,16 all time,40 total
Analyst_3534830,analyst_3534830,Member since Jun 2021,"['Non Professional', 'Other', 'Other']",6.7,20.1% all time,45% all time,-7 all time,1 all time,1 total
Analyst_9997057,analyst_9997057,Member since Apr 2022 - Last seen over 1 year ago,"['Non Professional', 'Other', 'Other']",6.7,18.0% all time,39% all time,4 all time,1 all time,1 total
Analyst_7248459,analyst_7248459,Member since Oct 2022,"['Non Professional', 'Other', 'Other']",N/A,- all time,- all time,- all time,- all time,- total
Shawshank_redmp,analyst_4061767,Member since Jul 2018 - Last seen over 3 years ago,"['Non Professional', 'Information Technology', 'Internet & Catalog Retail']",7.4,8.4% all time,58% all time,206 all time,12 all time,20 total
